Frequency,DB(V(C1:1))
1282777.254,-84.8800346
1312656.974,-85.28005645
1343232.683,-85.68007731
1374520.592,-86.08009724
1406537.289,-86.48011627
1439299.751,-86.88013444
1472825.349,-87.2801518
1507131.859,-87.68016837
1542237.47,-88.0801842
1578160.795,-88.48019931
1614920.882,-88.88021375
1652537.222,-89.28022753
1691029.759,-89.6802407
1730418.902,-90.08025327
1770725.536,-90.48026528
1811971.032,-90.88027674
1854177.26,-91.28028769
1897366.596,-91.68029815
1941561.942,-92.08030814
1986786.729,-92.48031767
2033064.937,-92.88032678
2080421.103,-93.28033548
2128880.335,-93.68034379
2178468.329,-94.08035172
2229211.375,-94.48035929
2281136.378,-94.88036653
2334270.87,-95.28037344
2388643.023,-95.68038003
2444281.667,-96.08038634
2501216.301,-96.48039235
2559477.113,-96.8803981
2619094.993,-97.28040359
2680101.553,-97.68040883
2742529.138,-98.08041383
2806410.848,-98.48041861
2871780.554,-98.88042318
2938672.916,-99.28042754
3007123.402,-99.6804317
3077168.304,-100.0804357
3148844.761,-100.4804395
3222190.778,-100.8804431
3297245.243,-101.2804466
3374047.951,-101.6804499
3452639.624,-102.080453
3533061.932,-102.480456
3615357.516,-102.8804589
3699570.011,-103.2804617
3785744.067,-103.6804643
3873925.374,-104.0804668
3964160.688,-104.4804692
4056497.852,-104.8804715
4150985.826,-105.2804737
4247674.706,-105.6804758
4346615.76,-106.0804778
4447861.448,-106.4804797
4551465.45,-106.8804815
4657482.7,-107.2804832
4765969.408,-107.6804849
4876983.097,-108.0804864
4990582.627,-108.480488
5106828.229,-108.8804894
5225781.54,-109.2804908
5347505.629,-109.6804921
5472065.036,-110.0804934
5599525.805,-110.4804946
5729955.516,-110.8804957
5863423.326,-111.2804968
6000000,-111.6804978
