Frequency,DB(V(C1:1))@1,DB(V(C1:1))@2,DB(V(C1:1))@3
62827.71288,-23.56036138,-29.56613318,-35.5829041
64291.15831,-23.87991854,-29.88676295,-35.90381602
65788.69177,-24.19261211,-30.20043045,-36.21773921
67321.10726,-24.4989146,-30.50761961,-36.52516074
68889.21729,-24.79925758,-30.80877184,-36.82652467
70493.8533,-25.09403615,-31.10429073,-37.12223689
72135.86608,-25.38361279,-31.39454611,-37.41266924
73816.12625,-25.66832075,-31.67987765,-37.6981631
75535.52471,-25.94846698,-31.96059791,-37.97903255
77294.9731,-26.22433474,-32.23699505,-38.25556707
79095.40431,-26.49618587,-32.50933523,-38.52803398
80937.77296,-26.7642628,-32.77786469,-38.79668055
82823.05588,-27.02879034,-33.04281162,-39.06173586
84752.25268,-27.28997725,-33.30438777,-39.32341247
86726.38624,-27.54801765,-33.56278994,-39.58190789
88746.50329,-27.80309229,-33.81820126,-39.83740589
90813.67491,-28.0553697,-34.07079237,-40.09007767
92928.99713,-28.30500714,-34.32072246,-40.34008294
95093.59155,-28.55215158,-34.56814021,-40.58757081
97308.60584,-28.79694046,-34.81318462,-40.83268072
99575.21445,-29.03950249,-35.05598579,-41.07554312
101894.6191,-29.27995827,-35.29666558,-41.31628022
104268.0497,-29.51842094,-35.53533829,-41.5550066
106696.7646,-29.75499671,-35.77211115,-41.79182979
109182.0515,-29.98978535,-36.00708491,-42.02685078
111725.2282,-30.22288071,-36.24035426,-42.26016447
114327.6431,-30.45437107,-36.47200827,-42.49186017
116990.676,-30.68433956,-36.70213081,-42.72202192
119715.7389,-30.91286451,-36.93080086,-42.95072887
122504.2767,-31.14001979,-37.1580929,-43.17805566
125357.7679,-31.36587505,-37.38407714,-43.40407266
128277.7254,-31.59049608,-37.60881987,-43.62884628
131265.6974,-31.81394497,-37.83238367,-43.85243922
134323.2683,-32.03628043,-38.05482768,-44.07491074
137452.0592,-32.25755793,-38.27620778,-44.29631683
140653.7289,-32.47782996,-38.49657681,-44.51671043
143929.9751,-32.69714618,-38.7159848,-44.73614164
147282.5349,-32.91555359,-38.93447907,-44.95465787
150713.1859,-33.13309672,-39.15210443,-45.17230403
154223.747,-33.34981775,-39.36890335,-45.38912262
157816.0795,-33.56575664,-39.58491604,-45.60515396
161492.0882,-33.7809513,-39.80018066,-45.82043624
165253.7222,-33.99543767,-40.01473337,-46.03500568
169102.9759,-34.20924985,-40.22860847,-46.24889665
173041.8902,-34.4224202,-40.44183851,-46.46214175
177072.5536,-34.63497944,-40.65445441,-46.67477192
181197.1032,-34.84695672,-40.86648548,-46.88681655
185417.726,-35.05837976,-41.0779596,-47.09830353
189736.6596,-35.26927487,-41.28890322,-47.30925937
194156.1942,-35.47966706,-41.4993415,-47.51970925
198678.6729,-35.68958009,-41.70929834,-47.72967711
203306.4937,-35.89903656,-41.91879644,-47.93918569
208042.1103,-36.10805794,-42.12785741,-48.14825661
212888.0335,-36.31666469,-42.3365018,-48.35691046
217846.8329,-36.52487622,-42.54474913,-48.5651668
222921.1375,-36.73271103,-42.752618,-48.77304422
228113.6378,-36.94018672,-42.96012609,-48.98056045
233427.087,-37.14732003,-43.16729023,-49.18773234
