Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.370080e-05,-0.2635
-4.370000e-05,-0.27
-4.369920e-05,-0.262594
-4.369840e-05,-0.270937
-4.369760e-05,-0.270375
-4.369680e-05,-0.257344
-4.369600e-05,-0.266469
-4.369520e-05,-0.259906
-4.369440e-05,-0.262531
-4.369360e-05,-0.260406
-4.369280e-05,-0.267188
-4.369200e-05,-0.263719
-4.369120e-05,-0.261375
-4.369040e-05,-0.267094
-4.368960e-05,-0.265469
-4.368880e-05,-0.269156
-4.368800e-05,-0.273031
-4.368720e-05,-0.262656
-4.368640e-05,-0.261656
-4.368560e-05,-0.265562
-4.368480e-05,-0.264844
-4.368400e-05,-0.261219
-4.368320e-05,-0.262437
-4.368240e-05,-0.265188
-4.368160e-05,-0.266719
-4.368080e-05,-0.267156
-4.368000e-05,-0.267844
-4.367920e-05,-0.268719
-4.367840e-05,-0.265562
-4.367760e-05,-0.264625
-4.367680e-05,-0.268219
-4.367600e-05,-0.266656
-4.367520e-05,-0.269594
-4.367440e-05,-0.263219
-4.367360e-05,-0.270875
-4.367280e-05,-0.270562
-4.367200e-05,-0.259813
-4.367120e-05,-0.266688
-4.367040e-05,-0.271844
-4.366960e-05,-0.269688
-4.366880e-05,-0.269813
-4.366800e-05,-0.271125
-4.366720e-05,-0.27125
-4.366640e-05,-0.268656
-4.366560e-05,-0.2745
-4.366480e-05,-0.269969
-4.366400e-05,-0.265031
-4.366320e-05,-0.267562
-4.366240e-05,-0.268781
-4.366160e-05,-0.263
-4.366080e-05,-0.267969
-4.366000e-05,-0.26775
-4.365920e-05,-0.266719
-4.365840e-05,-0.269844
-4.365760e-05,-0.267094
-4.365680e-05,-0.272562
-4.365600e-05,-0.265906
-4.365520e-05,-0.269469
-4.365440e-05,-0.265594
-4.365360e-05,-0.267906
-4.365280e-05,-0.268094
-4.365200e-05,-0.268125
-4.365120e-05,-0.264344
-4.365040e-05,-0.266969
-4.364960e-05,-0.268813
-4.364880e-05,-0.268813
-4.364800e-05,-0.272406
-4.364720e-05,-0.272906
-4.364640e-05,-0.265719
-4.364560e-05,-0.269719
-4.364480e-05,-0.267531
-4.364400e-05,-0.268875
-4.364320e-05,-0.269125
-4.364240e-05,-0.266531
-4.364160e-05,-0.267344
-4.364080e-05,-0.263969
-4.364000e-05,-0.267469
-4.363920e-05,-0.267344
-4.363840e-05,-0.273938
-4.363760e-05,-0.275281
-4.363680e-05,-0.272219
-4.363600e-05,-0.269656
-4.363520e-05,-0.268688
-4.363440e-05,-0.267219
-4.363360e-05,-0.273813
-4.363280e-05,-0.266937
-4.363200e-05,-0.2675
-4.363120e-05,-0.2625
-4.363040e-05,-0.270219
-4.362960e-05,-0.265781
-4.362880e-05,-0.273125
-4.362800e-05,-0.273406
-4.362720e-05,-0.268437
-4.362640e-05,-0.268688
-4.362560e-05,-0.281844
-4.362480e-05,-0.269562
-4.362400e-05,-0.271625
-4.362320e-05,-0.271094
-4.362240e-05,-0.270781
-4.362160e-05,-0.266437
-4.362080e-05,-0.269813
-4.362000e-05,-0.273469
-4.361920e-05,-0.271188
-4.361840e-05,-0.268125
-4.361760e-05,-0.266281
-4.361680e-05,-0.266313
-4.361600e-05,-0.277344
-4.361520e-05,-0.272875
-4.361440e-05,-0.270844
-4.361360e-05,-0.268313
-4.361280e-05,-0.272281
-4.361200e-05,-0.271469
-4.361120e-05,-0.266562
-4.361040e-05,-0.267313
-4.360960e-05,-0.273219
-4.360880e-05,-0.26825
-4.360800e-05,-0.277938
-4.360720e-05,-0.270969
-4.360640e-05,-0.270844
-4.360560e-05,-0.270406
-4.360480e-05,-0.277469
-4.360400e-05,-0.272937
-4.360320e-05,-0.271406
-4.360240e-05,-0.267469
-4.360160e-05,-0.269844
-4.360080e-05,-0.276281
-4.360000e-05,-0.272875
-4.359920e-05,-0.268031
-4.359840e-05,-0.272469
-4.359760e-05,-0.270875
-4.359680e-05,-0.271562
-4.359600e-05,-0.277813
-4.359520e-05,-0.273313
-4.359440e-05,-0.275688
-4.359360e-05,-0.27725
-4.359280e-05,-0.273938
-4.359200e-05,-0.272406
-4.359120e-05,-0.277313
-4.359040e-05,-0.274156
-4.358960e-05,-0.272313
-4.358880e-05,-0.273438
-4.358800e-05,-0.2745
-4.358720e-05,-0.270344
